trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
228,False,"{'a': 0.5, 'e': 0.1033121800831002}",30,2,1.4082971671469946,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.5, 'e': 0.10228420671553744}",30,15,29.139965485790654,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.1012664618538834}",25,17,4.537798635769971,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.1002588437228037}",30,7,23.25160319490412,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09926125155964566}",25,0,-14.662933729848975,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
233,False,"{'a': 0.5, 'e': 0.09827358560436154}",20,15,-13.079369596064492,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09729574708953276}",30,18,23.774599925416876,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09632763823049303}",20,0,8.568177425405008,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,9,18.73993094585176,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09442022319630235}",30,12,34.71272817696,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09348072627805847}",20,8,6.096440899690506,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09255057751034329}",20,6,22.700417031836547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.09162968387750484}",20,0,11.518306564826409,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.09071795328941251}",25,7,32.462402463340545,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08981529457224763}",25,8,30.320450204502876,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08892161745938634}",25,15,19.796978889728543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.08803683258237255}",25,18,13.568698076620985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.0871608514619813}",30,12,30.145819822791815,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.0862935864993705}",20,8,10.463259984101269,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08543495096732123}",20,0,31.072505726840145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
248,False,"{'a': 0.5, 'e': 0.08458485900156469}",20,0,-34.511988698010974,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.08374322559219596}",20,11,4.625619365557347,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08290996657517266}",35,14,-58.607123688365505,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
251,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,10,1.1422922857524918,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.08126823924089167}",20,7,15.959626507659596,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.08045960674953244}",20,10,20.820788340127617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07965902028589801}",20,0,19.047599183933507,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
255,False,"{'a': 0.5, 'e': 0.07886639979067495}",30,17,10.416556092226507,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07808166600115313}",20,11,18.299174906071478,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07730474044329974}",25,3,36.47295235417603,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07653554542391151}",30,0,27.18391651533854,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
259,False,"{'a': 0.5, 'e': 0.07577400402284548}",20,6,20.862441031985995,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07502004008532698}",20,2,7.711743708203826,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07427357821433388}",25,9,27.7816784000419,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.0735345437630571}",25,15,16.478463917971727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.07280286282743559}",20,16,6.673510171853806,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.0720784622387661}",35,13,22.183481335526295,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.07136126955638605}",30,12,28.443797250120973,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.0706512130604296}",20,3,32.607786020985316,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.06994822174465536}",30,18,25.346391274903738,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
